+====================+===================+=====================================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                                 |
+====================+===================+=====================================================+
| gclk               | gclk              | cpu_module/w_register_reg[1151]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[1503]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[1880]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[1620]/D                   |
| gclk               | gclk              | cpu_module/y_register_reg[258]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[492]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[2024]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[1417]/D                   |
| gclk               | gclk              | cpu_module/y_register_reg[421]/D                    |
| gclk               | gclk              | cpu_module/y_register_reg[276]/D                    |
| gclk               | gclk              | cpu_module/y_register_reg[275]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[308]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[1802]/D                   |
| gclk               | gclk              | cpu_module/y_register_reg[169]/D                    |
| gclk               | gclk              | cpu_module/x_register_reg[414]/D                    |
| gclk               | gclk              | cpu_module/y_register_reg[273]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[1073]/D                   |
| gclk               | gclk              | cpu_module/y_register_reg[278]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[328]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[1231]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[1359]/D                   |
| gclk               | gclk              | cpu_module/y_register_reg[331]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[543]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[944]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[1114]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[1475]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[1470]/D                   |
| gclk               | gclk              | cpu_module/x_register_reg[266]/D                    |
| gclk               | gclk              | cpu_module/y_register_reg[31]/D                     |
| gclk               | gclk              | cpu_module/x_register_reg[374]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[2027]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[1205]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[1125]/D                   |
| gclk               | gclk              | cpu_module/y_register_reg[691]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[1506]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[1738]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[1763]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[671]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[1998]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[1299]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[1429]/D                   |
| gclk               | gclk              | cpu_module/y_register_reg[520]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[510]/D                    |
| gclk               | gclk              | cpu_module/y_register_reg[288]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[1672]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[1559]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[1632]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[1764]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[1283]/D                   |
| gclk               | gclk              | weight_medium_module/internal_wrapper/x_reg[2157]/D |
| gclk               | gclk              | cpu_module/w_register_reg[707]/D                    |
| gclk               | gclk              | cpu_module/y_register_reg[442]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[868]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[617]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[1022]/D                   |
| gclk               | gclk              | cpu_module/w_register_reg[557]/D                    |
| gclk               | gclk              | cpu_module/w_register_reg[1143]/D                   |
